ID,ESTABELECI,ENDERECO,LAT,LONG,BAIRRO
87,JD DAS LARANJEIRAS-AMA,"BENTO GUELFI, AV,1100",-23603342,-46429597,JD LARANJEIRAS
88,JD DAS OLIVEIRAS-AMA,"JOSE DA CRUZ CAMARGO,R,174",-23494881,-46379916,JD DAS OLIVEIRAS
89,JD ELISA MARIA - AMA,"REMULO NALDI,R,1",-23455938,-46685406,JD ELISA MARIA
90,JD ETELVINA-AMA,"MANOEL TEODORO XAVIER,R,138",-23529885,-46421214,JD ETELVINA
91,JD GRIMALDI-AMA,"PEDRO DE CASTRO VELHO,R,523",-23591570,-46515914,V BANCARIA
92,JD HELENA-AMA,"KUMAKI AOKI,AV,785",-23478599,-46419176,JD. HELENA
93,JD ICARAI - AMA,"ROQUE DO PARAGUASSU,R,190",-23743565,-46704938,V QUINTANA
94,JD IPANEMA - AMA PEDRO RAVARA,"PEDRO RAVARA,R,11A",-23445919,-46748695,JD. IPANEMA
95,JD ITAPEMA -AMA,"COSTEIRA,R,572",-23559758,-46509798,V.ARISI
96,JD JOAMAR - AMA,"ADALTO BEZERRA DELGADO,R,240",-23448567,-46595741,JD JOAMAR
97,JD LADEIRA ROSA-AMA,"JOSE DA COSTA GAVIAO,R,150",-23460263,-46673017,PQ. TIET-
98,JD MIRIAM - AMA,"SANTO AFONSO,AV,419",-23678053,-46643925,JD. MIRIAM
99,JD MIRNA-AMA,"JUVENAL HUDSON FERREIRA,DR,R,13",-23771089,-46695932,JD. MIRNA
100,JD NELIA-AMA,"ITAJUIBE,R,1910",-23510992,-46383921,ITAIM PAULISTA
101,JD NORDESTE-AMA,"NICOLO TARTAGLIA,R,45",-23531063,-46479070,JD COIMBRA
102,JD PAULISTANO-AMA,"ENCRUZILHADA DO SUL,R, 220",-23462876,-46702491,JD PAULISTANO
103,JD PERI PERI-AMA,"JOAO GUERRA,R,247",-23586132,-46731959,JD. PERI PERI
104,JD PERI-AMA,"PERI RONCHETTI,AV,914",-23463714,-46654242,JD PERI
105,JD PIRAJUSSARA-AMA,"AMADEU DA SILVA SAMELO,R,423",-23630816,-46766027,JARDIM MARTINICA
106,JD ROMANO-AMA,"RIO MANOEL ALVES,R,57",-23487081,-46391501,ITAIM PAULISTA
107,JD S JORGE-AMA,"ANGELO APARECIDO DOS SANTOS DIAS,R,331",-23592156,-46783270,JD. SAO JORGE
108,JD S LUIZ-AMA,"LUIS ANTONIO VERNEY,R,98",-23659403,-46743017,JD. SAO LUIZ
109,JD STO ANDRE-AMA,"MIGUEL FERREIRA DE MELO,AV,497",-23631626,-46442705,S MATHEUS
110,JD TRES MARIAS-AMA DR. MAURICIO Z.,"BRENO ACIOLI,R,440",-23518051,-46491812,V  SAO FRANCISCO
111,JOAO YUNES - AMA,"LUIS VIVES,R,85",-23673525,-46658855,V JOANIZA
112,"JOSE PIRES,DR(ENG GOULART)-AMA","AUGUSTO CORREIA LEITE,R,538",-23499804,-46516773,ENG  GOULART
113,"JOSE SOARES HUNGRIA,DR -  AMA PIRITUBA","MENOTTI LAUDIZIO,AV,100",-23484117,-46727089,PIRITUBA
114,"JUSCELINO KUBITSCHEK,PRES-AMA","UTARO KANAI,R,286",-23565202,-46398396,COHAB PRESID. JUSCELINO
115,LAUSANE PAULISTA-AMA,"VALORBE,R,80",-23474762,-46641340,LAUZANE PTA
116,"LUCY UDAKIRI,DRA (JOSE BONIFACIO III) - AMA","SILVIO BARBINI,R,40",-23540016,-46438874,COHAB JOSE BONIFACIO
117,"MANUEL DA NOBREGA,PE-AMA","FRANCISCO DE TOLEDO,PE,AV,545",-23544372,-46486454,COHAB PADRE M. DA NOBREGA
118,MASSAGISTA MARIO AMERICO - AMA,"OSCAR DE MOURA LACERDA,ENG,R,231",-23486165,-46655108,IMIRIM
119,"MATHEUS SANTAMARIA,DR (JD POPULAR) - AMA","JAMES TORRES,AV,600",-23517253,-46505721,JD. POPULAR
120,MAURICE PATE - AMA,"GERMANO,FREI,R,50",-23526151,-46550415,PENHA
121,OSCAR PEREIRA DA SILVA  - AMA,"ENGENHO NOVO,AV,120",-23598225,-46494531,JD. TIETE
122,PARADA XV DE NOVEMBRO-AMA,"IBIAJARA,R,804",-23526871,-46435159,ITAQUERA
123,PARAISOPOLIS - AMA,"SILVEIRA SAMPAIO,R,660",-23617574,-46718678,VILA ANDRADE
124,PARELHEIROS-AMA,"MARIO TRAPE,R,100",-23829632,-46726602,JD. NOVO PARELHEIROS
125,PARI - AMA,"OLARIAS,DAS,R,503",-23525505,-46620487,CANINDE
126,PAULO VI-AMA,"VATICANO,AV,69",-23601401,-46794837,JD. JOAO XXIII
127,PERUS-AMA,"JOAO GONCALVES DE LIMA,VIG,PCA,239",-23408918,-46756881,PERUS
128,PQ ANHANGUERA - AMA,"ANHANGUERA,ROD KM 24,5/PIERRE RENOIR,100",-23430851,-46787208,JD. BRITANIA
129,PQ BRISTOL-AMA,"FRANCOIS BUNEL,R,194",-23648697,-46609987,PQ BRISTOL
130,PQ DOROTEIA-AMA,"ANIQUIS,DOS,R,3",-23696777,-46647972,JD. STA TEREZINHA
131,PQ FERNANDA-AMA,"ERNESTO SOARES FILHO,R,301",-23675312,-46791828,PQ FERNANDA
132,PQ FIGUEIRA GRANDE-AMA,"DANIEL KLEIN,R,211",-23679004,-46748702,PQ. FIGUEIRA GRANDE
133,PQ MARIA DOMITILA - AMA,"ANASTACIO,DO,AV (ESQ. R WILLIS ROBERTO BANKS) 2421",-23488279,-46737725,PQ. MARIA DOMITILA
134,PQ NOVO STO AMARO-AMA,"PORTA DO PRADO,R,18",-23698944,-46783715,PQ NOVO STO AMARO
135,PQ PAULISTANO - AMA,"SILVEIRA PIRES,R,265",-23486749,-46431785,PQ PAULISTANO
136,PQ STO ANTONIO-AMA,"MANUEL BORDALO PINHEIRO,R,100",-23656634,-46755453,PQUE SANTO ANTONIO
137,S+O FRANCISCO II - AMA,"BANDEIRA DO ARACAMBI,S/N",-23630870,-46457302,JD. SAO FRANCISCO
138,SACOMA-AMA,"ESTRADA DAS LAGRIMAS,1404",-23613340,-46593417,V HELIOPOLIS
139,SANTA CRUZ - AMA,"PEDRO DE TOLEDO,R,309",-23598259,-46639208,V CLEMENTINO
140,SANTA MARCELINA - AMA,"CACHOEIRA DA ILHA,R,71",-23556400,-46459987,ITAQUERA
141,SAPOPEMBA-AMA,"JOAO LOPES DE LIMA,R,1151",-23611267,-46492813,JD. SAPOPEMBA
142,SITIO DA CASA PINTADA -AMA,"MARIA SANTANA,AV,101",-23509507,-46446369,JD STA MARIA
143,SOROCABANA - AMA,"CATAO,R,380",-23523667,-46700788,V ROMANA
144,TATUAPE - AMA HOSPITAL TATUAPE,"SIRIA,R,95",-23531961,-46565830,TATUAPE
145,TITO LOPES DA SILVA - AMA,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",-23496403,-46440472,V AMERICANA
146,V ANTONIETA-AMA,"JOAO DE OLIVEIRA MELLO,CEL,R,440",-23572685,-46515396,V ANTONIETA
147,V BARBOSA-AMA,"MANDAQUI,AV,197",-23504804,-46670111,LIMAO
148,V CALIFORNIA-AMA,"SAO JANUARIO,DE,CDE,PCA,91",-23604588,-46554629,V CALIFORNIA
149,V CARMOSINA-AMA,"IPOPOCA,R,61",-23549185,-46448219,ITAQUERA
150,V CARRAO-AMA,"JACI BARBOSA,DR,R,280",-23552513,-46524187,CARRAOZINHO
151,V CLARA - AMA,"ROLANDO CURTIS,R,701",-23670825,-46642993,V. CLARA
152,V GUARANI - AMA,"TERESINHA,R,123",-23579027,-46527859,V  GUARANI
153,V GUILHERME- AMA,"JOAO VENTURA BATISTA,R,615",-23515717,-46605055,V GUILHERME
154,V IMPERIO - AMA,"CATARINA GABRIELLI,R,150",-23677002,-46651288,AMERICAN-POLIS
155,V MEDEIROS- AMA,"EURICO SODRE,R,353",-23491895,-46584769,V MEDEIROS
156,V MISSIONARIA - AMA,"RAINHA DAS MISSOES,R,515",-23688526,-46649178,V MISSIONARIA
157,V MORAES-AMA JOAO BOTELHO VIEIRA,"GIOVANNI DI BALBUCCIO,R,250",-23633637,-46611940,V MORAES
158,V NOVA JAGUARE-AMA,"SALATIEL DE CAMPOS,R,222",-23542420,-46744260,JAGUARE
159,"V ORATORIO ""TITO P.MASCELANI"" - AMA","JOAO FIALHO DE CARVALHO,R,35",-23573518,-46558620,V DIVA
160,V PALMEIRAS(V BANCARIA)-AMA,"FRANCISCO LOTUFO,R,24",-23494362,-46684871,V PALMEIRA
161,V PEREIRA BARRETO-AMA,"MANUEL D'ELBOUX,D,R,76",-23487266,-46713005,JD. SAO JOSE
162,V PIAUI-AMA,"CAMILO CASTELO BRANCO,R,10",-23501676,-46760927,V NILVA
163,V SONIA - AMA,"ABRAHAO CALIL REZEK,R,91",-23597378,-46734262,V  SONIA
164,VILA SILVIA - AMA,"BELEM SANTOS,R,8",-23490014,-46503551,CANGA-BA
165,"WALDOMIRO DE PAULA,PROF - AMA","AUGUSTO CARLOS BAUMANN,R,1074",-23530664,-46444301,ITAQUERA
166,WAMBERTO DIAS COSTA - AMA,"PAULO CESAR,R,60",-23468318,-46602830,TREMEMBE
167,ZELIA LOPES MARINOVIC DORO VEREADORA - AMA,"MERCEDES LOPES,R,989",-23513062,-46531425,CH-CARA CRUZEIRO DO SUL
168,AACD MOOCA,"TAQUARI, R., 549",-23551437,-46598099,ALTO DA MOOCA
169,AACD ZONA NORTE,"ZAKI NARCHI, AV., 357",-23510889,-46622368,CARANDIRU
170,AACD ZONA SUL,"MIGUEL YUNES, AV.,491",-23688341,-46688077,CAMPO  GRANDE
171,APAE SAO PAULO,"LOEFGREEN,R,2109",-23599277,-46645292,V. CLEMENTINO
172,CASA DO PARTO DE SAPOPEMBA,"JOSE DAS ESPINHARAS,S,R,400",-23603574,-46532173,VILA INDUSTRIAL
173,CAPELA DO SOCORRO - CAPS INFANTIL,"CARUANENSE,R,186",-23773889,-46700505,GRAJAU
174,CASA VERDE CACHOEIRINHA LIMAO - CAPS INFANTIL,"SETE DE DEZEMBRO,R,72",-23467198,-46657993,
175,CIDADE ADEMAR - CAPS INFANTIL,"JOAO DO LAGO,R, 228",-23693887,-46660855,BALNEARIO MAR PAULISTA
176,CIDADE LIDER - CAPS INFANTIL,"AQUINO FONSECA,R,117",-23567088,-46479007,JD DAS CARMELITAS
177,CRIA CASINHA JABAQUARA-CAPS INFANTIL,"ONZE DE FEVEREIRO,R,318",-23646358,-46636324,CID VARGAS
178,FREGUESIA BRASILANDIA - CAPS INFANTIL,"MANUEL MADRUGA,R,129",-23495579,-46698479,FREGUESIA DO -
179,GUAIANASES - CAPS INFANTIL,"EVALDO CALABREZ, R,205",-23544386,-46415442,GUAIANADES
180,IPIRANGA - CAPS INFANTIL,"SAVA,R, 44",-23607027,-46600711,V DAS MERCES
181,ITAIM PAULISTA - CAPS INFANTIL,"ILHA DE S+O FRANCISCO,R,155",-23497983,-46403865,ITAIM PAULISTA
182,ITAQUERA - CAPS INFANTIL,"BERNARDINO PRUDENTE,R,86",-23554231,-46434016,COHAB JOSE BONIFACIO
183,LAPA-CAPS INFANTIL,"BERGSON,R, 52",-23531256,-46720089,PQ DA LAPA
184,M' BOI MIRIM - CAPS INFANTIL,"ALTO DA PADILHA,R,3972",-23701368,-46746442,RIVIERA PAULISTA
185,MOOCA - CAPS INFANTIL,"TAQUARI,R,549",-23550412,-46597310,MOOCA
186,PARELHEIROS - CAPS INFANTIL,"ALESSANDRO BURI,R,15",-23824279,-46730615,PARELHEIROS
187,PENHA - CAPS INFANTIL,"HERCIILIA,R,452",-23538952,-46528075,V MATILDE
188,PERUS - CAPS INFANTIL,"ANTONIO DE PADUA DIAS,R,602",-23400609,-46751136,V CAIUBA
189,S MATEUS-CAPS INFANTIL,"ERNESTO MANOGRASSO,R,133",-23610915,-46477029,SAO MATEUS
190,SANTANA - CAPS III INFANTIL,"MOREIRA DE BARROS,CONS,R,120",-23496552,-46626335,SANTANA
191,SANTO AMARO-CAPS INFANTIL,"IGUATINGA,R,134",-23657106,-46703567,STO  AMARO
192,SAO MIGUEL - CAPS INFANTIL,"MIGUEL DE OLIVEIRA,R,195",-23506412,-46470341,S MIGUEL PAULISTA
193,SAPOPEMBA - CAPS INFANTIL,"DAVID DE MELO LOPES,R,86",-23618810,-46505087,V CARDOSO FRANCO
194,SE - CAPS INFANTIL,"FREDERICO ALVARENGA,R,259",-23550525,-46627859,PQ DOM PEDRO
195,V PRUDENTE-CAPS INFANTIL,"ZELINA,AV,322",-23588924,-46580156,V  ZELINA
196,VILA MARIA/VILA GUILHERME - CAPS INFANTIL,"ALBERTO BYINGTON,AV,526",-23507339,-46586069,VILA MARIA
197,ARICANDUVA/FORMOSA - CAPS ADULTO,"BOICININGA,R,31",-23554624,-46536488,
198,ARTHUR BISPO DO ROSARIO- GUAIANASES CAPS ADULTO,"SERRA DO MAR,R,56",-23544807,-46416369,GUAIANASES
199,BRASILANDIA-CAPS ADULTO,"AUGUSTO DO AMARAL,DR,R,222",-23474897,-46691868,BRASILANDIA
200,BUTANTA -CAPS ADULTO,"OSCAR PINHEIRO COELHO,R, 287",-23581818,-46718646,CAXINGUI
201,CAPS ADULTO II CAPELA DO SOCORRO,"MARIA APARECIDA ANACLETO,R., 448",-23719216,-46692123,CIDADE DUTRA
202,CASA VERDE - CAPS ADULTO,"FERREIRA DE ALMEIDA,R,22",-23486085,-46654849,CASA VERDE
203,CIDADE ADEMAR - CAPS ADULTO,"CONCEICAO DA BOA VIAGEM,R,216",-23694190,-46658327,BALNE-RIO MAR PAULISTA
204,CIDADE TIRADENTES - CAPS ADULTO,"JUA MIRIM,R,366",-23583288,-46418253,
205,ERMELINO MATARAZZO - CAPS ADULTO,"BOTURUSSU,AV,168",-23505492,-46487859,PQ. BOTURUSSU
206,ITAIM BIBI-CAPS ADULTO,"HORACIO LAFER,AV,590",-23587310,-46683984,ITAIM BIBI
207,ITAIM PAULISTA - CAPS ADULTO,"CEMBIRA,R,992",-23504320,-46428686,V CURUCA
208,ITAPEVA-CAPS ADULTO LUIZ R. CERQUEIRA,"ITAPEVA,R,700",-23561245,-46653852,BELA VISTA
209,ITAQUERA - CAPS ADULTO,"PORTO XAVIER,R,57",-23541150,-46455110,V CARMOSINA
210,JABAQUARA-CAPS ADULTO,"GETULIO VARGAS,R,27",-23643558,-46638093,CIDADE VARGAS
211,JACANA/TREMEMBE-CAPS ADULTO DR LEONIDIO GALVAO SANTOS,"PAULO LINCOLN DO VALLE PONTIN,R,323",-23462153,-46585248,JACANA
212,JD LIDIA-CAPS ADULTO,"GUTEMBERG JOSE FERREIRA,R,50",-23664866,-46762165,JD. LIDIA
213,LAPA-CAPS ADULTO,"ROMA, R,446",-23521995,-46700748,V ROMANA
214,LGO TREZE DE MAIO-CAPS ADULTO,"PAULA CRUZ,R,71",-23650091,-46715338,JD. DOM BOSCO
215,MANDAQUI-CAPS ADULTO,"LUIS LUSTOSA DA SILVA,DR,R,369",-23485813,-46629255,MANDAQUI
216,M'BOI MIRIM - CAPS II ADULTO,"ERNESTO PASQUALUCCI,R,52",-23681962,-46766519,JD DION-SIO
217,PARAISOPOLIS - CAPS ADULTO III,"SILVEIRA SAMPAIO,R,660",-23617574,-46718678,VILA ANDRADE
218,PARELHEIROS - CAPS ADULTO,"TEREZINHA DO PRADO OLIVEIRA,R,100",-23828021,-46723624,JD NOVO PARELHEIROS
219,PERDIZES-CAPS ADULTO DR. MANOEL MUNHOZ,"CANDIDO ESPINHEIRA,R,616",-23531684,-46665042,PERDIZES
220,PIRITUBA/JARAGUA - CAPS ADULTO,"RAIMUNDO PEREIRA DE MAGALHAES,AV,5214",-23485951,-46723490,PIRITUBA
221,PIRITUBA-CAPS ADULTO,"URUTINGA,R,90",-23494090,-46713261,V BONILHA
222,S MATEUS-CAPS ADULTO,"CLOVIS MONTEIRO CARVALHO JR,R,22",-23595951,-46490336,JD. TIETE
223,S MIGUEL PAULISTA-CAPS ADULTO,"OTAVIO DE ROSA,R,37",-23492880,-46446356,SAO MIGUEL PAULISTA
224,SAPOPEMBA-CAPS II ADULTO,"JOAO LOPES DE LIMA,R,1151",-23611267,-46492813,JD SAPOPEMBA
225,SE - CAPS ADULTO,"FREDERICO ALVARENGA,R,259",-23550525,-46627859,PQ D. PEDRO II
226,V MATILDE-CAPS ADULTO,"ANTONIO LINDORO DA SILVA,R,295",-23534594,-46535911,V  MATILDE
227,V PRUDENTE-CAPS ADULTO,"SANTA HELENA,PCA,56",-23586491,-46579713,V  PRUDENTE
228,VILA MONUMENTO - CAPS ADULTO,"GON´?¢ALO PEDROSA,R, 105",-23581727,-46610841,VILA MONUMENTO
229,CACHOEIRINHA - CAPS ad,"RODRIGUES SETTE, DES,R,111",-23457675,-46650227,CACHOEIRINHA
230,CAPELA DO SOCORRO - CAPS ad,"LUIZ ROTTA,R., 300",-23749142,-46711828,JD PANORAMA
231,CAPS AD III CAMPO LIMPO,"DOMINGOS BICUDO, R., 385",-23635551,-46773557,CAMPO LIMPO
